X,Y,key
213897.019332788,170283.019747112,"606"
212634.363955251,169360.38546456,"63"
212421.023269147,169274.447267305,"610"
212489.197495593,169307.678446687,"611"
212582.467440222,169338.921661562,"609"
210797.580284289,159323.625888029,"612"
210832.116139071,159380.048712223,"613"
211028.241538055,158515.979820671,"260"
211012.228664807,158955.626018823,"616"
211043.592325794,158861.045040197,"618"
211049.890766483,158762.376912257,"619"
211038.677888267,158663.377264429,"620"
211034.551568917,158567.654151593,"615"
210808.622182201,159278.302292888,"621"
210853.565304806,159208.30696506,"622"
210907.535099874,159124.127012212,"623"
210962.186689572,159040.650153215,"617"
213116.46368402,169115.890506385,"624"
212903.715840728,169186.325893826,"626"
212976.916811593,169178.531288523,"627"
213058.119100518,169128.860250937,"625"
213699.408080307,169343.635747881,"175"
213149.308959014,169131.844681467,"629"
213212.354646402,169168.905798407,"630"
213308.102721291,169175.542905602,"631"
213403.920038038,169189.860931821,"632"
213481.918131619,169239.241470158,"633"
213558.570085367,169294.026372286,"634"
213648.272153418,169327.783845455,"628"
212665.693532717,166691.473317784,"635"
212525.049050293,166740.886494107,"637"
212594.663796394,166714.651490615,"636"
212851.087567206,169188.034809906,"16"
212720.471856898,169239.836083902,"640"
212789.983404546,169202.627092446,"639"
208974.625702757,162728.168933523,"9"
209218.63607341,163094.539790532,"642"
209153.436704701,163032.611673632,"644"
209083.938328826,162960.875642278,"645"
209021.584233595,162883.451475538,"646"
208985.281495658,162793.865867448,"641"
213706.221973679,170717.141090798,"648"
211383.444255283,170335.63875638,"569"
211337.913002921,170316.751321272,"649"
213045.843936935,170644.440055686,"165"
212834.704959423,170547.888176315,"651"
212874.160339203,170592.00961859,"652"
212940.165542779,170655.512294575,"653"
213006.383587697,170651.492743312,"650"
210190.023640566,162920.979646406,"654"
209280.753115705,163108.334047008,"656"
209358.221647973,163067.563668863,"657"
209447.790673296,163024.609821355,"658"
209536.277725023,162982.318923603,"659"
209622.649147019,162937.602663798,"660"
209699.362070343,162877.184785799,"661"
209763.829665007,162801.417576105,"662"
209849.902055209,162760.839790003,"663"
209945.385184432,162783.617725534,"664"
210036.680290503,162823.495699391,"665"
210117.586503281,162881.61419434,"655"
211165.1966586,169943.73193433,"666"
211130.841732236,169927.814251835,"667"
211032.74876057,170042.662915996,"669"
210951.589646114,170149.756092965,"671"
210987.313359113,170101.587971874,"670"
210291.077475124,165820.439318006,"303"
210149.254746033,165788.754749511,"674"
210204.003717143,165806.120350404,"673"
210864.531844297,162406.024338705,"676"
210518.225167086,162716.531337414,"678"
210577.622389052,162636.089048553,"680"
210636.91885483,162555.569507296,"681"
210700.267858392,162478.657928466,"682"
210777.411915597,162416.543277209,"677"
210241.135493228,162924.153576355,"683"
210305.131199034,162917.77513389,"684"
210389.864723363,162867.912466777,"685"
210458.77241883,162796.92842292,"679"
212477.20569673,166752.783337647,"638"
211321.26748056,170519.399942702,"686"
211295.551665816,170314.334602823,"688"
211298.749334719,170367.995756485,"689"
211314.12938916,170466.577269676,"687"
211296.783872937,170830.101433486,"690"
211310.982260539,170552.267682258,"692"
211305.864376465,170635.282978795,"693"
211301.208423366,170735.174530495,"691"
211390.920012857,170037.387204427,"694"
211434.14106541,170075.642323532,"695"
213876.511231471,170720.782476062,"248"
213820.171113245,170718.191372375,"696"
205774.761720355,167219.748752721,"698"
205801.631634533,167301.08905237,"699"
205732.998183777,167088.666984694,"701"
205752.604470098,167135.978474076,"702"
205827.270723223,167362.684505615,"700"
206026.664312176,167673.693771067,"706"
205975.920488514,167588.309395832,"708"
205922.378233987,167503.991217404,"709"
205867.73672315,167420.435605726,"705"
206203.679531262,168335.17940252,"710"
206241.403216169,168256.653551796,"712"
206220.64126568,168174.927067637,"713"
206186.05432774,168096.353163752,"714"
206194.189052256,168023.852766421,"715"
206151.554876999,167934.501548428,"716"
206111.133175559,167845.13816725,"717"
206073.133649434,167758.446862429,"707"
206038.34520955,168577.446734231,"718"
206012.544126362,168525.398721663,"720"
206069.920907964,168471.341316899,"721"
206148.833867293,168411.787187507,"711"
208991.458041642,171809.396782159,"736"
207062.964517736,172024.614566227,"741"
207097.852356504,171950.968263165,"742"
207148.492460435,171871.141602913,"743"
207229.046322029,171820.086630576,"744"
207327.16412066,171803.285786526,"745"
207423.895198076,171796.830291013,"746"
207501.053974047,171831.0,"747"
207588.451218115,171865.618148764,"748"
207678.001335544,171875.80498267,"749"
207774.952031062,171887.499329048,"750"
207858.00510162,171908.541286514,"751"
207942.249625936,171917.370273603,"752"
208032.090679515,171911.441920321,"753"
208127.16597322,171907.531764478,"754"
208227.034873363,171907.347021154,"755"
208308.779402047,171891.861947391,"756"
208379.923485247,171872.358681197,"757"
208478.004633502,171865.127175959,"758"
208577.070355742,171856.496312008,"759"
208664.839914357,171834.657045933,"760"
208748.900813749,171806.128262746,"761"
208837.032829812,171803.126710782,"762"
208934.985315561,171810.227736276,"737"
205453.379693335,170993.18092,"763"
206685.0032456,171728.449897978,"764"
206929.869875905,172072.687960815,"766"
206943.619042428,171952.442394205,"767"
206879.238343202,171910.052467506,"769"
206882.502755159,171813.316683876,"770"
206836.28217914,171769.259344528,"771"
206740.806309527,171747.238778027,"765"
206948.814734142,172019.232331853,"768"
205966.263642086,171658.353317184,"772"
206093.682848646,171987.392036275,"774"
206064.566716785,171922.212616192,"775"
206032.331268327,171832.35218371,"776"
205996.835446394,171746.105057447,"773"
205015.064302772,172241.085099526,"777"
209006.691089984,171767.85906386,"785"
209007.27065938,171801.975147227,"786"
210116.091787134,171840.965193848,"787"
209017.399452169,171747.416782456,"789"
209079.597685176,171753.337939752,"790"
209179.055968228,171763.35048023,"791"
209278.434041914,171774.434669977,"792"
209377.950755113,171784.244739287,"793"
209477.461864863,171794.119490092,"794"
209576.453323833,171803.933640922,"795"
209665.293138248,171773.969248687,"796"
209747.498071504,171746.674233096,"797"
209814.928322478,171782.559851029,"798"
209886.986045394,171723.24479893,"799"
209964.758348948,171733.773636398,"800"
210047.080077404,171790.499710227,"788"
205152.088333296,171067.307673237,"801"
205350.594288842,171506.912190358,"803"
205287.463821025,171440.166678606,"805"
205215.151391506,171379.069484714,"806"
205183.839817209,171302.324938528,"807"
205228.738281693,171225.666607684,"808"
205191.888684,171143.169436504,"802"
205419.121268533,171560.143174481,"804"
205460.019342477,171691.702950217,"810"
206917.580554023,172108.627152893,"739"
206898.262586316,172236.154527956,"812"
206901.005157697,172178.913300834,"811"
207511.691067657,172547.73816862,"813"
206936.103335964,172256.385881851,"815"
207022.708872784,172270.858278281,"816"
207117.987555321,172298.612214081,"817"
207199.488701047,172354.323045443,"818"
207278.25031815,172414.54792724,"819"
207353.941092417,172478.956388745,"820"
207437.186766093,172528.513040126,"814"
206743.401450518,161100.022113152,"821"
206821.578289949,161235.440735378,"826"
206761.298810724,161157.323170289,"822"
206959.371923769,170921.222577455,"829"
207042.56152588,170900.319550391,"828"
207245.433335795,170842.721227764,"119"
207196.675804972,170877.1026309,"830"
203269.346175007,159096.930960451,"832"
203492.572857943,159591.919378658,"834"
203429.657172584,159517.740333854,"836"
203378.046581597,159436.657204405,"837"
203323.896262063,159353.628266826,"838"
203287.001581829,159263.348305223,"839"
203287.253224073,159164.738689653,"833"
203306.214348499,157649.09617295,"842"
203371.612169566,157575.259044964,"844"
203447.491483755,157512.614080715,"845"
203524.770727106,157449.649391077,"846"
203612.231002153,157402.381166964,"847"
203697.344204846,157352.560407009,"848"
203752.456874024,157276.463223399,"841"
203267.717216978,158324.477124448,"849"
203289.498826247,158227.56044139,"851"
203297.162456982,158128.884617789,"852"
203306.187391931,158029.576212825,"853"
203324.888600788,157933.417422317,"854"
203316.343164561,157835.919292084,"855"
203289.407129199,157741.251514382,"843"
203239.586795531,158980.211107816,"856"
203240.343825199,158888.881303022,"858"
203230.714151424,158794.65017792,"859"
203226.560266519,158694.984566276,"860"
203226.295416847,158595.367746973,"861"
203231.696401848,158495.71041892,"862"
203235.175453074,158401.152001649,"850"
203244.533035161,159055.39022865,"857"
203529.655949261,159630.082360731,"835"
205248.433546502,156321.08752693,"864"
205179.935422064,156474.622905406,"866"
205220.077756481,156383.371098394,"865"
205029.775310181,156991.005440106,"868"
205050.550901009,156938.387117466,"870"
205104.73935385,156857.586673964,"871"
205137.033735943,156764.437949071,"872"
205166.811646228,156670.906707635,"873"
205163.991544543,156572.143751074,"867"
205010.03272049,157029.718999155,"869"
204932.853533328,157076.586968608,"874"
204852.158421205,157686.692302991,"876"
204808.753948275,157601.182001701,"878"
204790.145345755,157504.910399285,"879"
